"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"광성장여관(지하주차장)",공공용,"충청남도 천안시 동남구 고재3길 20 (원성동, 광성장)",충청남도 천안시 동남구 원성동 517번지 10호,36.806103,127.1612705,425,515,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"정원맨숀(지하주차장)",공공용,"충청남도 천안시 동남구 고재5길 50 (원성동, 정원맨숀)",충청남도 천안시 동남구 원성동 524번지 2호,36.805786,127.1629145,500,606,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"다가동 한화꿈에그린아파트(지하주차장)",공공용,"충청남도 천안시 동남구 다가말2길 54 (다가동, 한화꿈에그린아파트)",충청남도 천안시 동남구 다가동 444번지 3호,36.797281,127.137717,3333,4040,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"포스코더샵오피스텔(지하주차장)",공공용,"충청남도 천안시 동남구 만남로 9 (신부동, 더샵오피스텔)",충청남도 천안시 동남구 신부동 966번지,36.819139,127.153003,3149,3817,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
CGV(지하주차장),공공용,"충청남도 천안시 동남구 명동길 47 (대흥동, CGV)",충청남도 천안시 동남구 대흥동 102번지 10호,36.807686,127.148381,1913,2319,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"농협은행 대흥동지점 앞 지하상가주차장",공공용,충청남도 천안시 동남구 명동길 (문화동),충청남도 천안시 동남구 문화동 61번지 3호,36.808458,127.149817,2047,2481,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"신도브래뉴2차아파트(지하주차장)",공공용,충청남도 천안시 동남구 목천읍 목천안터2길 19 (신도브래뉴2차아파트),충청남도 천안시 동남구 목천읍 166번지 36호,36.777781,127.210667,16648,20179,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"부영2단지아파트(지하주차장)",공공용,충청남도 천안시 동남구 목천읍 삼성5길 41 (원앙마을 부영아파트),충청남도 천안시 동남구 목천읍 9번지 6호,36.761769,127.176989,1990,2412,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"부영1단지아파트(지하주차장)",공공용,충청남도 천안시 동남구 목천읍 삼성5길 42 (부영아파트),충청남도 천안시 동남구 목천읍 9번지 12호,36.758992,127.178917,1990,2412,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"대흥동지하상가",공공용,"충청남도 천안시 동남구 버들로 지하 2 (대흥동, 지하상가)",충청남도 천안시 동남구 대흥동 30번지 7호,36.809347,127.148194,2130,2582,Y,지하상가,041-521-5580,충청남도 천안시,2018-08-30
"봉명청솔3차아파트(지하주차장)",공공용,"충청남도 천안시 동남구 봉서8길 13 (봉명동, 청솔3차아파트)",충청남도 천안시 동남구 봉명동 494번지,36.810894,127.132358,8202,9942,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"신동아아파트(지하주차장)",공공용,"충청남도 천안시 동남구 새말4길 5 (신방동, 신동아아파트)",충청남도 천안시 동남구 신방동 869번지,36.793931,127.131853,2751,3335,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"향촌현대아파트(지하주차장)",공공용,"충청남도 천안시 동남구 서부대로 226-11 (신방동, 향촌현대아파트)",충청남도 천안시 동남구 신방동 905번지,36.789247,127.130083,9874,11968,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"한라동백2차아파트(지하주차장)",공공용,"충청남도 천안시 동남구 서부대로 226-12 (신방동, 한라동백2차아파트)",충청남도 천안시 동남구 신방동 909번지,36.787108,127.129922,21340,25867,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"두레현대2단지아파트(지하주차장)",공공용,"충청남도 천안시 동남구 서부대로 252 (신방동, 신방동두레현대아파트2단지)",충청남도 천안시 동남구 신방동 897번지,36.791086,127.130167,3300,4000,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"초원그린아파트(지하주차장)",공공용,"충청남도 천안시 동남구 신촌4로 16 (신방동, 초원아파트)",충청남도 천안시 동남구 신방동 920번지,36.787306,127.126369,16381,19856,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"초원라이프아파트(지하주차장)",공공용,"충청남도 천안시 동남구 원성5길 17 (원성동, 초원라이프타운)",충청남도 천안시 동남구 원성동 481번지 1호,36.807956,127.162289,1485,1800,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"성지새말1단지아파트(지하주차장)",공공용,"충청남도 천안시 동남구 일봉로 17 (신방동, 성지새말아파트)",충청남도 천안시 동남구 신방동 873번지,36.794117,127.130117,5512,6681,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"성지새말2단지아파트(지하주차장)",공공용,"충청남도 천안시 동남구 일봉로 20 (신방동, 성지새말아파트)",충청남도 천안시 동남구 신방동 874번지,36.792414,127.130644,9294,11265,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"두레현대1단지아파트(지하주차장)",공공용,"충청남도 천안시 동남구 일봉로 34 (신방동, 두레현대아파트)",충청남도 천안시 동남구 신방동 895번지,36.792594,127.132131,3300,4000,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"동일하이빌아파트1단지아파트(1,4,5 지하주차장)",공공용,"충청남도 천안시 동남구 일봉로 71 (용곡동, 동일하이빌1단지아파트)",충청남도 천안시 동남구 용곡동 575번지,36.791956,127.137417,19685,23861,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"신성미소지움아파트(지하주차장)",공공용,"충청남도 천안시 동남구 천안대로 483-8 (구성동, 신성미소지움아파트)",충청남도 천안시 동남구 구성동 259번지,36.792844,127.1637275,18740,22715,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"방죽안휴먼시아아파트(지하주차장)",공공용,"충청남도 천안시 동남구 천안천8길 45 (신부동, 방죽안휴먼시아아파트)",충청남도 천안시 동남구 신부동 970번지,36.821683,127.155067,7304,8853,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"청당벽산블루밍아파트(지하주차장)",공공용,"충청남도 천안시 동남구 청당2길 118 (청당동, 청당벽산블루밍아파트)",충청남도 천안시 동남구 청당동 440번지,36.779283,127.156197,8396,10177,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"청솔엘지에스케이아파트(지하주차장)",공공용,"충청남도 천안시 동남구 청수로 98 (청수동, 청솔LG아파트)",충청남도 천안시 동남구 청수동 261번지,36.792014,127.157775,14768,17901,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"우성VIP아파트(지하주차장)",공공용,"충청남도 천안시 동남구 충무로 455-3 (원성동, 우성VIP아파트)",충청남도 천안시 동남구 원성동 595번지 6호,36.798772,127.155453,990,1200,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"충남근로자복지회관(지하주차장)",공공용,"충청남도 천안시 동남구 충무로 457 (원성동, 충청남도근로자복지회관)",충청남도 천안시 동남구 원성동 627번지 3호,36.798811,127.156183,152,184,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"교보생명(지하주차장)",공공용,"충청남도 천안시 동남구 충절로 138 (원성동, 교보생명)",충청남도 천안시 동남구 원성동 129번지 2호,36.806753,127.158417,799,968,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"원성극동아파트(101동 지하)",공공용,"충청남도 천안시 동남구 충절로 190 (원성동, 원성극동아파트)",충청남도 천안시 동남구 원성동 559번지 15호,36.802492,127.158642,2239,2714,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"천안동부새마을금고(지하주차장)",공공용,"충청남도 천안시 동남구 충절로 196 (원성동, 천안동부새마을금고)",충청남도 천안시 동남구 원성동 559번지 49호,36.801347,127.158808,1106,1341,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"파고다아파트(지하주차장)",공공용,"충청남도 천안시 동남구 큰시장길 37 (영성동, 파고다주상복합아파트)",충청남도 천안시 동남구 영성동 80번지 4호,36.802231,127.150972,828,1004,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"대림한들아파트(지하주차장)",공공용,"충청남도 천안시 동남구 터미널9길 59 (신부동, 대림한들아파트)",충청남도 천안시 동남구 신부동 545번지,36.823794,127.158789,13223,16028,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"청수현대아파트(지하주차장)",공공용,"충청남도 천안시 동남구 풍세로 1010-31 (청수동, 청수현대아파트)",충청남도 천안시 동남구 청수동 219번지 4호,36.797417,127.153894,2706,3280,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
e편한세상스마일시티아파트(지하주차장),공공용,"충청남도 천안시 서북구 3공단6로 85-27 (차암동, e편한세상스마일시티)",충청남도 천안시 서북구 차암동 442번지,36.843828,127.103606,11615,14079,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"불당한화꿈에그린아파트(지하주차장)",공공용,충청남도 천안시 서북구 광장로 260 (불당동),충청남도 천안시 서북구 불당동 1270번지,36.801042,127.113497,9981,12098,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
e편한세상두정2차아파트(지하주차장),공공용,충청남도 천안시 서북구 노태산로 145 (두정동),충청남도 천안시 서북구 두정동 2055번지,36.838003,127.129653,2574,3120,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"세광엔리치빌3단지아파트(지하주차장)",공공용,충청남도 천안시 서북구 늘푸른1길 29 (두정동),충청남도 천안시 서북구 두정동 605번지,36.828192,127.128383,13433,16282,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"서해그랑블아파트(지하주차장)",공공용,충청남도 천안시 서북구 늘푸른1길 32 (두정동),충청남도 천안시 서북구 두정동 665번지,36.828169,127.130203,5948,7210,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"대우푸르지오4차아파트(지하주차장)",공공용,충청남도 천안시 서북구 늘푸른1길 50 (두정동),충청남도 천안시 서북구 두정동 666번지,36.829519,127.130208,6111,7407,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"극동늘푸른아파트(지하주차장)",공공용,충청남도 천안시 서북구 늘푸른6길 42 (두정동),충청남도 천안시 서북구 두정동 526번지 2호,36.828117,127.131911,5405,6552,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"선경아파트(지하주차장)",공공용,"충청남도 천안시 서북구 도원2길 39 (성정동, 선경아파트)",충청남도 천안시 서북구 성정동 823번지,36.822097,127.133569,4663,5652,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"충남타워(지하주차장)",공공용,"충청남도 천안시 서북구 동서대로 163 (성정동, 충남타워)",충청남도 천안시 서북구 성정동 1437번지,36.825911,127.141306,2625,3182,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"대우푸르지오5차아파트(지하주차장)",공공용,충청남도 천안시 서북구 두정고1길 9 (두정동),충청남도 천안시 서북구 두정동 2010번지,36.834742,127.128717,7405,8976,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"우성아파트(지하주차장)",공공용,충청남도 천안시 서북구 두정고7길 36 (두정동),충청남도 천안시 서북구 두정동 1909번지,36.836475,127.132467,2350,2848,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"대주파크빌아파트(지하주차장)",공공용,충청남도 천안시 서북구 두정고7길 9 (두정동),충청남도 천안시 서북구 두정동 1896번지,36.836542,127.129978,3212,3893,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"두정한성2차아파트(지하주차장)",공공용,충청남도 천안시 서북구 두정고8길 24 (두정동),충청남도 천안시 서북구 두정동 1886번지,36.837636,127.133356,3748,4543,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"두정역푸르지오아파트(지하주차장)",공공용,충청남도 천안시 서북구 두정역길 48 (두정동),충청남도 천안시 서북구 두정동 2037번지,36.833808,127.150333,7557,9160,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"두정우남아파트(지하주차장)",공공용,충청남도 천안시 서북구 두정역서5길 11 (두정동),충청남도 천안시 서북구 두정동 1596번지,36.838225,127.146856,7804,9459,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"경남아너스빌아파트(지하주차장)",공공용,충청남도 천안시 서북구 두정중11길 17 (두정동),충청남도 천안시 서북구 두정동 1080번지,36.838297,127.139614,6252,7578,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"두정e편한세상아파트(지하주차장)",공공용,충청남도 천안시 서북구 두정중2길 12 (두정동),충청남도 천안시 서북구 두정동 1221번지,36.834906,127.140897,6023,7301,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"대우타워아파트(지하주차장)",공공용,"충청남도 천안시 서북구 미라15길 24 (쌍용동, 대우타워아파트)",충청남도 천안시 서북구 쌍용동 889번지,36.806164,127.131489,3491,4232,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"광명아파트(지하주차장)",공공용,"충청남도 천안시 서북구 미라2길 19 (쌍용동, 광명아파트)",충청남도 천안시 서북구 쌍용동 1233번지,36.801769,127.128358,5191,6292,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"주공그린빌11단지3차아파트(지하주차장)",공공용,"충청남도 천안시 서북구 백석3로 70 (백석동, 주공그린빌11단지3차아파트)",충청남도 천안시 서북구 백석동 910번지,36.819844,127.118692,4602,5578,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"천안시청(지하주차장)",공공용,충청남도 천안시 서북구 번영로 156 (불당동),충청남도 천안시 서북구 불당동 234번지 1호,36.815658,127.1136868,3345,4055,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"벽산블루밍1차아파트(지하주차장)",공공용,"충청남도 천안시 서북구 번영로 278-12 (백석동, 벽산블루밍1차아파트)",충청남도 천안시 서북구 백석동 919번지,36.824992,127.114092,9200,11152,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"일성2차버들아파트(지하주차장)",공공용,"충청남도 천안시 서북구 봉서8길 6 (쌍용동, 일성2차버들아파트)",충청남도 천안시 서북구 쌍용동 788번지,36.809864,127.131283,845,1024,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"불당호반리젠시빌아파트(지하주차장)",공공용,충청남도 천안시 서북구 봉서산로 85 (불당동),충청남도 천안시 서북구 불당동 780번지,36.805997,127.116903,1806,2189,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"주공9단지아파트(404동과 407동 사이 지하주차장)",공공용,"충청남도 천안시 서북구 봉서산샛길 65 (쌍용동, 주공9단지아파트)",충청남도 천안시 서북구 쌍용동 1914번지,36.805711,127.122431,5672,6875,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"두정한성3차필하우스아파트(지하주차장)",공공용,충청남도 천안시 서북구 봉정로 366 (두정동),충청남도 천안시 서북구 두정동 2035번지,36.8342929,127.147069,12778,15488,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
