"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"주공8단지아파트(지하주차장)",공공용,"충청남도 천안시 서북구 봉정로 381 (두정동, 주공8단지아파트)",충청남도 천안시 서북구 두정동 527번지 2호,36.836158,127.144525,3350,4061,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"한성스위트빌아파트(지하주차장)",공공용,"충청남도 천안시 서북구 부성6길 11 (두정동, 한성아파트)",충청남도 천안시 서북구 두정동 1000번지,36.835994,127.134392,11278,13670,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"계룡리슈빌아파트(지하주차장)",공공용,충청남도 천안시 서북구 부성8길 29 (두정동),충청남도 천안시 서북구 두정동 1078번지,36.838308,127.137083,11942,14475,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"불당한성필하우스아파트(지하주차장)",공공용,충청남도 천안시 서북구 불당11로 68 (불당동),충청남도 천안시 서북구 불당동 788번지,36.802633,127.113639,5295,6418,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"대원칸타빌아파트(지하주차장)",공공용,충청남도 천안시 서북구 불당11로 82 (불당동),충청남도 천안시 서북구 불당동 787번지,36.803319,127.1159951,3802,4608,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"불당아이파크아파트(지하주차장)",공공용,충청남도 천안시 서북구 불당17길 14 (불당동),충청남도 천안시 서북구 불당동 757번지,36.808597,127.109253,8195,9933,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"화승아파트(지하주차장)",공공용,"충청남도 천안시 서북구 서부4길 34 (성정동, 화승실업사원아파트)",충청남도 천안시 서북구 성정동 659번지 1호,36.821375,127.141703,1155,1400,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"반석의원(지하주차장)",공공용,"충청남도 천안시 서북구 서부4길 41 (성정동, 농협중앙회 성정동지점)",충청남도 천안시 서북구 성정동 657번지 5호,36.822208,127.141339,284,344,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"성거벽산아파트(지하주차장)",공공용,충청남도 천안시 서북구 성거읍 봉주로 107-6 (성거벽산아파트),충청남도 천안시 서북구 성거읍 3번지 3호,36.878686,127.159411,5794,7023,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"삼환나우빌아파트(지하주차장)",공공용,충청남도 천안시 서북구 성거읍 봉주로 120 (삼환나우빌아파트),충청남도 천안시 서북구 성거읍 2번지 26호,36.877253,127.157128,17952,21760,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"성거백승아파트(지하주차장)",공공용,충청남도 천안시 서북구 성거읍 천흥4길 6 (성거백승아파트),충청남도 천안시 서북구 성거읍 425번지 1호,36.873122,127.203086,917,1112,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"대우성촌프라자아파트(지하주차장)",공공용,"충청남도 천안시 서북구 성정15길 6 (성정동, 대우성촌프라자아파트)",충청남도 천안시 서북구 성정동 698번지 1호,36.817831,127.138808,1159,1405,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"대우푸르지오3차아파트(지하주차장)",공공용,충청남도 천안시 서북구 성정두정로 142 (두정동),충청남도 천안시 서북구 두정동 1593번지,36.838267,127.142897,4478,5428,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"후생빌딩(지하주차장)",공공용,"충청남도 천안시 서북구 성정로 82 (성정동, 후생빌딩)",충청남도 천안시 서북구 성정동 727번지 2호,36.813547,127.1390834,949,1150,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"현대한솔아파트(지하주차장)",공공용,충청남도 천안시 서북구 성환읍 성월2길 16 (현대한솔아파트),충청남도 천안시 서북구 성환읍 150번지,36.918017,127.136361,4195,5085,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"성환e편한세상아파트(지하주차장)",공공용,충청남도 천안시 서북구 성환읍 성환1로 54-45 (천안성환e편한세상아파트),충청남도 천안시 서북구 성환읍 182번지 10호,36.901603,127.132933,8118,9840,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"삼풍아파트(지하주차장)",공공용,충청남도 천안시 서북구 성환읍 성환2로 56 (삼풍아파트),충청남도 천안시 서북구 성환읍 312번지,36.912333,127.130997,2585,3133,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"성환부영2차아파트(지하주차장)",공공용,충청남도 천안시 서북구 성환읍 천안대로 1853 (부영아파트),충청남도 천안시 서북구 성환읍 244번지 5호,36.903972,127.1345145,4089,4956,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"대동다숲아파트(지하주차장)",공공용,충청남도 천안시 서북구 시청로 39 (불당동),충청남도 천안시 서북구 불당동 820번지,36.805861,127.1114498,13324,16150,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"불당동일하이빌아파트(지하2층 주차장)",공공용,충청남도 천안시 서북구 시청로 73 (불당동),충청남도 천안시 서북구 불당동 750번지,36.807978,127.112917,3305,4006,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"신당코아루아파트(지하주차장)",공공용,충청남도 천안시 서북구 신당새터2길 55 (신당동),충청남도 천안시 서북구 신당동 284번지 1호,36.853336,127.159347,1848,2240,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"라이프타운아파트(102,103동과 105,106동 사이 지하주차장)",공공용,"충청남도 천안시 서북구 쌍용11길 33 (쌍용동, 라이프타운아파트)",충청남도 천안시 서북구 쌍용동 1279번지,36.803311,127.122506,5582,6766,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"상록수현대4차아파트(지하주차장)",공공용,"충청남도 천안시 서북구 쌍용17길 52 (쌍용동, 현대4차아파트)",충청남도 천안시 서북구 쌍용동 1273번지,36.795797,127.121881,2046,2480,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"우리은행 천안중앙금융센터(지하주차장)",공공용,"충청남도 천안시 서북구 쌍용대로 251 (성정동, 우리은행)",충청남도 천안시 서북구 성정동 928번지,36.819825,127.135536,610,739,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"월봉일성아파트(지하주차장)",공공용,"충청남도 천안시 서북구 월봉4로 120-16 (쌍용동, 월봉일성아파트)",충청남도 천안시 서북구 쌍용동 1547번지,36.7958963,127.116889,13728,16640,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"월봉벽산태영아파트(지하주차장)",공공용,"충청남도 천안시 서북구 월봉4로 140-16 (쌍용동, 월봉벽산태영아파트)",충청남도 천안시 서북구 쌍용동 1538번지,36.798431,127.116353,7080,8582,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"월봉대우아파트(지하주차장)",공공용,"충청남도 천안시 서북구 월봉4로 88-11 (쌍용동, 월봉대우아파트)",충청남도 천안시 서북구 쌍용동 1548번지,36.795711,127.115517,3860,4679,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"월봉현대아파트(지하주차장)",공공용,"충청남도 천안시 서북구 월봉4로 91 (쌍용동, 월봉현대아파트)",충청남도 천안시 서북구 쌍용동 1552번지,36.795886,127.113956,4488,5440,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"월봉청솔2차아파트(지하주차장)",공공용,"충청남도 천안시 서북구 월봉7길 77 (쌍용동, 청솔2차아파트)",충청남도 천안시 서북구 쌍용동 1561번지,36.793747,127.116247,15444,18720,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"용암마을아파트(110동 앞 지하주차장)",공공용,"충청남도 천안시 서북구 월봉로 131 (쌍용동, 용암마을아파트)",충청남도 천안시 서북구 쌍용동 1923번지,36.802492,127.1177065,8488,10288,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"직산코아루아파트(지하주차장)",공공용,충청남도 천안시 서북구 직산읍 삼은3길 34 (코아루아파트),충청남도 천안시 서북구 직산읍 395번지,36.877958,127.153011,5164,6259,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"직산세광엔리치빌1차2단지아파트(전동 지하주차장)",공공용,충청남도 천안시 서북구 직산읍 삼은4길 18-23 (직산세광엔리치빌2차아파트),충청남도 천안시 서북구 직산읍 74번지 3호,36.880231,127.150714,8056,9764,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"직산세광엔리치빌1차1단지아파트(전동 지하주차장)",공공용,충청남도 천안시 서북구 직산읍 삼은5길 12-12 (직산세광엔리치빌1차1단지 모든 주차장),충청남도 천안시 서북구 직산읍 72번지 41호,36.879311,127.152581,3628,4398,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"직산부영아파트(전 지하주차장)",공공용,충청남도 천안시 서북구 직산읍 천안대로 1718 (부영아파트),충청남도 천안시 서북구 직산읍 16번지 1호,36.8939117,127.137981,8764,10623,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"신동아파밀리에아파트(지하주차장)",공공용,충청남도 천안시 서북구 천안천4길 18-10 (와촌동),충청남도 천안시 서북구 와촌동 173번지,36.807542,127.144439,16267,19718,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"천안축구센터(본관동 지하주차장)",공공용,충청남도 천안시 서북구 축구센터로 150 (성정동),충청남도 천안시 서북구 성정동 354번지,36.821442,127.145911,8838,10713,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"현대6차1단지아파트(지하주차장)",공공용,"충청남도 천안시 서북구 충무로 124-24 (쌍용동, 현대아이파크)",충청남도 천안시 서북구 쌍용동 2045번지,36.791344,127.121942,6212,7530,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"현대6차2단지아파트(지하주차장)",공공용,"충청남도 천안시 서북구 충무로 124-25 (쌍용동, 현대아이파크홈타운)",충청남도 천안시 서북구 쌍용동 2041번지,36.791794,127.124028,6386,7741,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"계룡푸른마을아파트(지하주차장)",공공용,"충청남도 천안시 서북구 충무로 143-8 (쌍용동, 계룡푸른마을아파트)",충청남도 천안시 서북구 쌍용동 1361번지,36.793908,127.123719,1584,1920,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"선경해누리아파트(지하주차장)",공공용,"충청남도 천안시 서북구 충무로 158-10 (쌍용동, 선경해누리아파트)",충청남도 천안시 서북구 쌍용동 1363번지 1호,36.792414,127.1246443,9010,10921,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"쌍용현대3차아파트(지하주차장)",공공용,"충청남도 천안시 서북구 충무로 208 (쌍용동, 쌍용현대3차아파트)",충청남도 천안시 서북구 쌍용동 388번지 2호,36.795964,127.1303965,1874,2272,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"쌍용동일하이빌아파트(지하주차장)",공공용,"충청남도 천안시 서북구 충무로 5-16 (쌍용동, 쌍용동일하이빌아파트)",충청남도 천안시 서북구 쌍용동 2077번지,36.786133,127.114369,5019,6084,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"쌍용역푸르지오아파트(지하주차장)",공공용,"충청남도 천안시 서북구 충무로 93 (쌍용동, 쌍용역푸르지오)",충청남도 천안시 서북구 쌍용동 2050번지,36.790908,127.118725,5590,6776,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"백석계룡리슈빌아파트(지하주차장)",공공용,"충청남도 천안시 서북구 한들3로 107 (백석동, 백석계룡리슈빌아파트)",충청남도 천안시 서북구 백석동 1007번지,36.832686,127.122353,9348,11331,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"백석2차아이파크아파트(지하주차장)",공공용,"충청남도 천안시 서북구 한들3로 35-23 (백석동, 천안백석2차아이파크)",충청남도 천안시 서북구 백석동 1178번지,36.825206,127.121447,6531,7916,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"부경파크빌아파트(지하주차장)",공공용,충청남도 천안시 서북구 늘푸른1길 19 (두정동),충청남도 천안시 서북구 두정동 606번지,36.827372,127.128207,8125,9848,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"신세계아파트(지하주차장)",공공용,충청남도 천안시 동남구 병천면 병천2로 86 (신세계아파트),충청남도 천안시 동남구 병천면 병천리 43-5번지,36.767391,127.305456,756,916,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"아우내아파트(지하주차장)",공공용,충청남도 천안시 동남구 병천면 아우내장터1길 7 (아우내아파트),충청남도 천안시 동남구 병천면 병천리 308번지,36.760879,127.295245,475,575,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"레이크팰리스 아파트(지하2층 주차장)",공공용,충청남도 천안시 동남구 병천면 충절로 1896 (레이크팰리스),충청남도 천안시 동남구 병천면 탑원리 109-1번지,36.764516,127.316409,2901,3516,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"북면 중앙아파트(지하주차장)",공공용,충청남도 천안시 동남구 북면 충절로 1456 (중앙아파트),충청남도 천안시 동남구 북면 상동리 91-6번지,36.770101,127.269026,3064,3713,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"천안예술의전당(지하2층주차장)",공공용,충청남도 천안시 동남구 성남면 종합휴양지로 185 (천안예술의전당),충청남도 천안시 동남구 성남면 용원리 710번지,36.756358,127.225843922,2073,2512,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"용곡마을세광2차엔리치타워아파트(지하주차장)",공공용,충청남도 천안시 동남구 풍세로 769-28 (용곡동),충청남도 천안시 동남구 용곡동 583번지,36.781124,127.138106,35752,43335,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"고운여의주 아파트(지하주차장)",공공용,"충청남도 천안시 동남구 안서1길 5-16 (안서동, 고운여의주아파트)",충청남도 천안시 동남구 안서동 223-3번지,36.830204,127.177274,9043,10961,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"불당리더힐스아파트(지하2층 주차장)",공공용,"충청남도 천안시 서북구 불당24로 10 (불당동, 불당리더힐스)",충청남도 천안시 서북구 불당동 1497번지,36.822498,127.103508,4006,4855,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"불당 호반베르디움센트로포레(1-B 지하주차장)",공공용,"충청남도 천안시 서북구 불당23로 10 (불당동, 호반베르디움센트로포레)",충청남도 천안시 서북구 불당동 1510번지,36.818558,127.100864,4656,5643,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"불당 중흥S클래스 프라디움 레이크(지하주차장)",공공용,"충청남도 천안시 서북구 공원로 120 (불당동, 천안불당2차중흥s클레스프라디움레이크)",충청남도 천안시 서북구 불당동 1284번지,36.786889,127.158631,4556,5522,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"불당 호반써밋플레이스(지하2층 주차장)",공공용,"충청남도 천안시 서북구 불당21로 40 (불당동, 천안불당호반써밋플레이스)",충청남도 천안시 서북구 불당동 1613번지,36.811573,127.104868,9600,11636,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"한성아파트(지하주차장)",공공용,충청남도 천안시 서북구 입장면 도림길 10 (한성아파트),충청남도 천안시 서북구 입장면 도림리 341-1번지,36.915581,127.244887,7515,9109,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
"연합아파트(지하주차장)",공공용,충청남도 천안시 서북구 입장면 성진로 718 (연합아파트),충청남도 천안시 서북구 입장면 신덕리 200-21번지,36.912786,127.2092506,2276,2758,Y,주차장,041-521-5580,충청남도 천안시,2018-08-30
